TIMESTAMP,SAMPLES_ECG1,SAMPLES_SAT,SAMPLES_ABP,RATE_ECG1,RATE_SAT,RATE_ABP
'2015-01-10T17:20:40.960',-0.11,2.583,55.438,125,125,125
'2015-01-10T17:20:40.968',-0.151,2.599,54.852,,,
'2015-01-10T17:20:40.976',-0.211,2.612,54.217,,,
'2015-01-10T17:20:40.984',-0.276,2.618,53.631,,,
'2015-01-10T17:20:40.992',-0.336,2.619,52.996,,,
'2015-01-10T17:20:41.000',-0.391,2.62,52.41,,,
'2015-01-10T17:20:41.008',-0.435,2.62,51.97,,,
'2015-01-10T17:20:41.016',-0.476,2.615,52.117,,,
'2015-01-10T17:20:41.024',-0.5,2.603,53.289,,,
'2015-01-10T17:20:41.032',-0.476,2.588,56.317,,,
'2015-01-10T17:20:41.040',-0.411,2.577,61.592,,,
'2015-01-10T17:20:41.048',-0.305,2.566,69.163,,,
'2015-01-10T17:20:41.056',-0.171,2.551,78.102,,,
'2015-01-10T17:20:41.064',0.004,2.535,87.187,,,
'2015-01-10T17:20:41.072',0.195,2.515,95.099,,,
'2015-01-10T17:20:41.080',0.39,2.492,101.156,,,
'2015-01-10T17:20:41.088',0.595,2.464,105.357,,,
'2015-01-10T17:20:41.096',0.755,2.434,107.945,,,
'2015-01-10T17:20:41.104',0.91,2.408,109.362,,,
'2015-01-10T17:20:41.112',0.996,2.383,110.29,,,
'2015-01-10T17:20:41.120',1.045,2.362,110.974,,,
'2015-01-10T17:20:41.128',1.07,2.344,111.56,,,
'2015-01-10T17:20:41.136',1.09,2.326,111.999,,,
'2015-01-10T17:20:41.144',1.095,2.305,112.244,,,
'2015-01-10T17:20:41.152',1.07,2.285,112.097,,,
'2015-01-10T17:20:41.160',1.065,2.267,111.609,,,
'2015-01-10T17:20:41.168',1.07,2.246,110.729,,,
'2015-01-10T17:20:41.176',1.05,2.227,109.362,,,
'2015-01-10T17:20:41.184',1.045,2.207,107.75,,,
'2015-01-10T17:20:41.192',1.05,2.187,105.796,,,
'2015-01-10T17:20:41.200',1.045,2.162,103.745,,,
'2015-01-10T17:20:41.208',1.03,2.139,101.449,,,
'2015-01-10T17:20:41.216',1.035,2.117,98.763,,,
'2015-01-10T17:20:41.224',1.041,2.098,95.685,,,
'2015-01-10T17:20:41.232',1.05,2.079,92.071,,,
'2015-01-10T17:20:41.240',1.021,2.061,87.87,,,
'2015-01-10T17:20:41.248',1.025,2.042,83.181,,,
'2015-01-10T17:20:41.256',1.01,2.023,78.297,,,
'2015-01-10T17:20:41.264',1.021,2.005,73.608,,,
'2015-01-10T17:20:41.272',1.025,1.986,69.407,,,
'2015-01-10T17:20:41.280',1.01,1.971,66.135,,,
'2015-01-10T17:20:41.288',1.021,1.955,63.839,,,
'2015-01-10T17:20:41.296',1.01,1.938,62.569,,,
'2015-01-10T17:20:41.304',1.005,1.926,62.032,,,
'2015-01-10T17:20:41.312',1,1.92,61.983,,,
'2015-01-10T17:20:41.320',1.01,1.917,62.13,,,
'2015-01-10T17:20:41.328',1.021,1.915,62.276,,,
'2015-01-10T17:20:41.336',1,1.916,62.374,,,
'2015-01-10T17:20:41.344',0.996,1.921,62.227,,,
'2015-01-10T17:20:41.352',1,1.929,61.983,,,
'2015-01-10T17:20:41.360',0.996,1.939,61.543,,,
'2015-01-10T17:20:41.368',0.985,1.954,61.104,,,
'2015-01-10T17:20:41.376',0.976,1.97,60.567,,,
'2015-01-10T17:20:41.384',0.98,1.985,59.98,,,
'2015-01-10T17:20:41.392',0.98,2.002,59.345,,,
'2015-01-10T17:20:41.400',0.985,2.026,58.759,,,
'2015-01-10T17:20:41.408',0.97,2.052,58.124,,,
'2015-01-10T17:20:41.416',0.965,2.079,57.489,,,
'2015-01-10T17:20:41.424',0.97,2.104,56.854,,,
'2015-01-10T17:20:41.432',0.97,2.123,56.366,,,
'2015-01-10T17:20:41.440',0.976,2.14,55.878,,,
'2015-01-10T17:20:41.448',0.976,2.152,55.34,,,
'2015-01-10T17:20:41.456',0.976,2.166,54.852,,,
'2015-01-10T17:20:41.464',0.976,2.18,54.315,,,
'2015-01-10T17:20:41.472',0.965,2.194,53.728,,,
'2015-01-10T17:20:41.480',0.956,2.205,53.093,,,
'2015-01-10T17:20:41.488',0.956,2.215,52.556,,,
'2015-01-10T17:20:41.496',0.96,2.227,52.068,,,
'2015-01-10T17:20:41.504',0.956,2.238,51.53,,,
'2015-01-10T17:20:41.512',0.935,2.247,50.993,,,
'2015-01-10T17:20:41.520',0.93,2.255,50.554,,,
'2015-01-10T17:20:41.528',0.94,2.256,50.114,,,
'2015-01-10T17:20:41.536',0.945,2.252,49.723,,,
'2015-01-10T17:20:41.544',0.94,2.245,49.43,,,
'2015-01-10T17:20:41.552',0.93,2.238,49.039,,,
'2015-01-10T17:20:41.560',0.945,2.229,48.746,,,
'2015-01-10T17:20:41.568',0.93,2.218,48.356,,,
'2015-01-10T17:20:41.576',0.94,2.201,48.063,,,
'2015-01-10T17:20:41.584',0.97,2.181,47.672,,,
'2015-01-10T17:20:41.592',0.996,2.161,47.379,,,
'2015-01-10T17:20:41.600',1.005,2.143,47.037,,,
'2015-01-10T17:20:41.608',1.01,2.129,46.695,,,
'2015-01-10T17:20:41.616',1.025,2.119,46.304,,,
'2015-01-10T17:20:41.624',1.021,2.11,45.962,,,
'2015-01-10T17:20:41.632',1.025,2.104,45.669,,,
'2015-01-10T17:20:41.640',1.021,2.101,45.425,,,
'2015-01-10T17:20:41.648',1.055,2.094,45.181,,,
'2015-01-10T17:20:41.656',1.005,2.084,44.937,,,
'2015-01-10T17:20:41.664',0.93,2.072,44.595,,,
'2015-01-10T17:20:41.672',0.885,2.057,44.302,,,
'2015-01-10T17:20:41.680',0.885,2.042,44.057,,,
'2015-01-10T17:20:41.688',0.865,2.028,43.715,,,
'2015-01-10T17:20:41.696',0.855,2.012,43.569,,,
'2015-01-10T17:20:41.704',0.86,1.994,43.276,,,
'2015-01-10T17:20:41.712',0.855,1.977,43.032,,,
'2015-01-10T17:20:41.720',0.86,1.958,42.836,,,
'2015-01-10T17:20:41.728',0.865,1.94,42.592,,,
'2015-01-10T17:20:41.736',0.85,1.925,42.348,,,
'2015-01-10T17:20:41.744',0.855,1.909,42.104,,,
'2015-01-10T17:20:41.752',0.87,1.894,41.859,,,
'2015-01-10T17:20:41.760',0.85,1.881,41.664,,,
'2015-01-10T17:20:41.768',0.805,1.865,41.42,,,
'2015-01-10T17:20:41.776',1.11,1.85,41.176,,,
'2015-01-10T17:20:41.784',1.501,1.841,40.98,,,
'2015-01-10T17:20:41.792',1.501,1.834,40.785,,,
'2015-01-10T17:20:41.800',1.501,1.826,40.589,,,
'2015-01-10T17:20:41.808',1.501,1.817,40.492,,,
'2015-01-10T17:20:41.816',0.98,1.81,40.345,,,
'2015-01-10T17:20:41.824',0.7,1.804,40.247,,,
'2015-01-10T17:20:41.832',0.625,1.798,40.101,,,
'2015-01-10T17:20:41.840',0.615,1.792,40.052,,,
'2015-01-10T17:20:41.848',0.625,1.778,40.052,,,
'2015-01-10T17:20:41.856',0.635,1.76,40.003,,,
'2015-01-10T17:20:41.864',0.605,1.747,39.906,,,
'2015-01-10T17:20:41.872',0.615,1.736,39.808,,,
'2015-01-10T17:20:41.880',0.62,1.728,39.661,,,
'2015-01-10T17:20:41.888',0.61,1.722,39.466,,,
'2015-01-10T17:20:41.896',0.625,1.716,39.319,,,
'2015-01-10T17:20:41.904',0.63,1.708,39.026,,,
'2015-01-10T17:20:41.912',0.615,1.7,38.88,,,
'2015-01-10T17:20:41.920',0.62,1.692,38.733,,,
'2015-01-10T17:20:41.928',0.625,1.684,38.538,,,
'2015-01-10T17:20:41.936',0.635,1.676,38.44,,,
'2015-01-10T17:20:41.944',0.64,1.669,38.343,,,
'2015-01-10T17:20:41.952',0.635,1.66,38.245,,,
'2015-01-10T17:20:41.960',0.63,1.65,38.098,,,
'2015-01-10T17:20:41.968',0.63,1.638,37.903,,,
'2015-01-10T17:20:41.976',0.635,1.629,37.659,,,
'2015-01-10T17:20:41.984',0.63,1.622,37.366,,,
'2015-01-10T17:20:41.992',0.635,1.617,36.975,,,
'2015-01-10T17:20:42.000',0.625,1.61,36.78,,,
'2015-01-10T17:20:42.008',0.645,1.602,37.024,,,
'2015-01-10T17:20:42.016',0.655,1.594,38.294,,,
'2015-01-10T17:20:42.024',0.65,1.587,41.469,,,
'2015-01-10T17:20:42.032',0.66,1.579,47.379,,,
'2015-01-10T17:20:42.040',0.695,1.571,55.78,,,
'2015-01-10T17:20:42.048',0.73,1.562,65.793,,,
'2015-01-10T17:20:42.056',0.765,1.554,75.855,,,
'2015-01-10T17:20:42.064',0.805,1.546,84.842,,,
'2015-01-10T17:20:42.072',0.845,1.541,92.559,,,
'2015-01-10T17:20:42.080',0.9,1.538,98.86,,,
'2015-01-10T17:20:42.088',0.92,1.536,104.184,,,
